ID,Soil_pH,Organic_C (%),Total_N (%),C_N_Ratio,Land_Use_Type,Soil_Depth_cm,Bacteria_Abundance (%),Fungi_Abundance (%),β_Glucosidase (µmol/g/h),Urease (µmol/g/h),CO2_Emission (µg/g/day),NH4_Nitrate (µg/g)
29,6.68,2.26,0.085,26.6,Traditional,0–10,34.22,35.74,4.81,7.05,51.36,104.82
30,5.59,1.75,0.058,30.2,Traditional,0–10,54.88,35.71,4.43,5.47,48.61,78.14
31,6.72,3.37,0.143,23.6,Traditional,0–10,52.53,49.54,5.58,10.66,56.86,162.97
32,5.84,2.9,0.132,22.0,Monoculture,0–10,52.61,31.03,5.36,9.97,54.49,152.58
33,5.63,3.86,0.213,18.1,Traditional,0–10,53.4,30.47,5.98,14.73,59.47,233.04
34,7.4,3.64,0.161,22.6,Traditional,10–20,57.97,45.53,5.94,11.67,58.24,181.13
35,7.43,4.41,0.166,26.6,Organic,0–10,51.64,24.82,6.54,11.97,61.98,186.01
36,7.12,1.32,0.208,6.3,Traditional,10–20,38.97,37.26,4.03,14.51,46.6,227.69
37,6.11,1.28,0.167,7.7,Traditional,0–10,37.25,49.99,4.02,12.01,46.36,186.75
38,5.7,4.18,0.163,25.6,Organic,0–10,46.17,37.17,6.41,11.87,60.91,182.64
39,6.87,4.35,0.236,18.4,Traditional,10–20,58.81,22.44,6.47,16.21,61.73,256.09
40,6.38,2.42,0.137,17.7,Traditional,10–20,51.93,43.88,4.94,10.12,52.11,157.12
41,5.74,2.6,0.177,14.7,Monoculture,0–10,46.17,49.54,5.09,12.67,52.83,197.18
42,6.49,2.29,0.127,18.0,Organic,0–10,42.97,23.67,4.77,9.63,51.46,146.64
43,5.57,3.72,0.18,20.7,Monoculture,10–20,50.56,42.42,6.0,12.77,58.58,199.87
44,7.32,3.7,0.052,71.2,Monoculture,10–20,37.57,33.48,5.99,5.08,58.57,71.76
45,6.02,1.77,0.195,9.1,Organic,10–20,45.81,36.29,4.39,13.77,48.82,214.96
46,6.83,2.34,0.206,11.4,Organic,0–10,42.62,21.53,4.97,14.33,51.67,225.91
47,6.12,1.74,0.225,7.7,Monoculture,10–20,39.05,38.83,4.3,15.43,48.69,245.41
48,6.54,1.16,0.15,7.7,Traditional,0–10,47.94,33.89,4.0,11.06,45.76,169.93
49,6.59,1.2,0.107,11.2,Traditional,0–10,46.54,25.87,3.97,8.4,46.02,127.21
50,5.87,1.51,0.196,7.7,Traditional,10–20,43.3,42.13,4.25,13.79,47.44,216.15
51,7.44,1.1,0.24,4.6,Organic,10–20,32.9,24.79,3.89,16.36,45.43,260.38
52,7.05,2.48,0.204,12.2,Monoculture,0–10,51.5,31.1,5.0,14.26,52.32,223.97
53,7.38,1.22,0.232,5.3,Traditional,10–20,59.4,31.37,4.0,15.95,46.08,251.99
54,7.29,3.97,0.074,53.6,Organic,0–10,54.4,27.43,6.15,6.46,59.97,94.06
55,6.7,3.49,0.235,14.9,Organic,0–10,56.78,22.49,5.85,16.19,57.37,255.06
56,7.34,3.74,0.192,19.5,Traditional,0–10,37.78,38.72,5.88,13.57,58.67,211.84
57,5.68,3.16,0.214,14.8,Monoculture,0–10,33.49,45.03,5.48,14.89,55.76,233.83
58,5.89,3.32,0.134,24.8,Organic,10–20,40.92,25.06,5.7,10.01,56.68,154.22
59,5.59,1.4,0.164,8.5,Organic,10–20,55.42,45.77,4.03,11.91,46.83,183.84
60,6.15,1.2,0.173,6.9,Organic,0–10,37.09,41.1,3.95,12.37,46.0,192.84
61,6.28,4.46,0.154,29.0,Monoculture,0–10,57.19,44.16,6.59,11.28,62.26,174.08
62,6.04,2.31,0.069,33.5,Monoculture,0–10,50.28,38.83,4.83,6.19,51.5,88.77
63,7.16,1.18,0.096,12.3,Organic,10–20,40.77,34.75,4.0,7.73,45.9,115.91
64,6.21,1.56,0.078,20.0,Organic,10–20,35.11,37.41,4.2,6.65,47.82,98.3
65,6.06,4.06,0.216,18.8,Traditional,0–10,33.53,30.21,6.23,14.95,60.33,236.09
66,6.59,1.72,0.125,13.8,Monoculture,0–10,34.55,36.09,4.31,9.51,48.59,144.73
67,5.78,2.63,0.108,24.4,Organic,0–10,43.25,22.18,4.99,8.42,53.11,127.79
68,7.1,3.34,0.094,35.5,Traditional,10–20,58.77,37.64,5.77,7.57,56.58,113.92
69,5.65,4.38,0.19,23.1,Traditional,0–10,52.76,40.21,6.55,13.29,61.96,210.01
70,7.47,1.05,0.154,6.8,Traditional,0–10,53.3,23.3,3.83,11.28,45.1,173.86
71,7.04,2.71,0.168,16.1,Monoculture,0–10,41.77,38.57,5.22,12.05,53.69,188.32
72,5.9,4.49,0.201,22.3,Traditional,10–20,59.57,35.73,6.53,14.06,62.56,221.11
73,5.51,1.43,0.244,5.9,Traditional,10–20,39.45,43.16,4.1,16.63,47.27,263.63
74,7.13,1.43,0.198,7.2,Organic,10–20,34.41,30.41,4.13,13.9,47.16,217.83
75,6.91,1.3,0.244,5.3,Traditional,0–10,58.99,35.55,4.04,16.54,46.56,264.02
76,6.96,2.78,0.19,14.6,Traditional,0–10,44.35,22.64,5.25,13.37,53.86,209.95
77,7.04,2.22,0.185,12.0,Organic,10–20,56.67,49.3,4.7,13.23,51.19,204.95
78,5.65,3.51,0.079,44.4,Monoculture,0–10,56.54,21.17,5.77,6.61,57.55,98.73
79,6.22,3.0,0.069,43.5,Organic,10–20,56.45,29.81,5.42,6.19,55.03,89.09
80,5.73,3.03,0.055,55.1,Organic,0–10,50.35,22.95,5.38,5.24,55.13,74.92
81,7.23,2.79,0.189,14.8,Monoculture,0–10,54.53,28.83,5.24,13.34,54.09,209.03
82,6.75,4.47,0.18,24.8,Traditional,10–20,37.84,20.51,6.59,12.77,62.3,200.12
83,6.16,2.89,0.176,16.4,Traditional,10–20,45.25,47.61,5.33,12.49,54.5,195.83
84,5.63,1.25,0.175,7.1,Traditional,10–20,45.66,31.34,4.01,12.5,46.33,195.15
85,6.12,2.13,0.188,11.3,Organic,0–10,45.35,25.08,4.68,13.23,50.72,207.95
86,6.15,3.73,0.217,17.2,Monoculture,10–20,58.83,40.61,6.01,14.97,58.72,236.65
87,6.96,3.2,0.195,16.4,Traditional,10–20,52.46,43.68,5.5,13.7,56.0,214.95
88,6.78,3.39,0.17,19.9,Organic,0–10,52.66,36.36,5.68,12.2,57.11,189.96
89,7.27,4.23,0.094,45.0,Organic,0–10,38.37,43.88,6.35,7.68,61.11,113.76
90,6.44,2.55,0.203,12.6,Monoculture,10–20,38.87,43.17,5.06,14.2,52.83,223.0
91,5.74,1.07,0.1,10.7,Organic,10–20,53.5,25.01,3.9,7.98,45.37,119.81
92,6.93,4.47,0.186,24.0,Organic,0–10,57.04,23.72,6.54,13.18,62.48,206.12
93,7.02,2.59,0.077,33.6,Monoculture,10–20,55.09,40.33,5.02,6.63,52.89,96.64
94,6.62,1.34,0.152,8.8,Organic,0–10,53.26,30.88,4.05,11.11,46.88,172.04
95,7.04,2.92,0.177,16.5,Traditional,10–20,52.78,48.69,5.3,12.67,54.63,197.11
96,6.49,3.07,0.213,14.4,Traditional,0–10,47.77,29.49,5.45,14.76,55.41,232.87
97,6.55,2.98,0.191,15.6,Organic,10–20,43.17,36.33,5.39,13.56,54.89,210.76
98,6.36,4.38,0.211,20.8,Monoculture,10–20,36.43,23.14,6.53,14.58,61.88,231.38
99,5.55,2.12,0.221,9.6,Traditional,10–20,30.73,44.29,4.61,15.14,50.54,240.73
100,5.72,1.12,0.225,5.0,Organic,10–20,41.57,49.81,3.86,15.49,45.55,245.04
101,5.56,4.22,0.226,18.7,Monoculture,10–20,38.38,22.91,6.44,15.64,61.22,246.11
102,6.77,1.67,0.103,16.2,Organic,10–20,31.84,25.38,4.42,8.19,48.39,123.31
103,6.13,3.62,0.212,17.1,Traditional,10–20,57.57,38.22,5.96,14.67,58.11,232.17
104,6.52,1.71,0.053,32.3,Traditional,0–10,33.7,25.78,4.36,5.24,48.47,73.19
105,7.32,3.9,0.237,16.5,Traditional,10–20,33.27,31.59,6.05,16.24,59.51,257.29
106,6.0,4.17,0.087,47.9,Monoculture,10–20,48.12,24.99,6.35,7.3,60.73,106.94
107,6.32,1.37,0.227,6.0,Traditional,10–20,55.9,31.89,4.15,15.57,46.79,247.4
108,7.01,1.52,0.211,7.2,Monoculture,0–10,33.5,36.6,4.2,14.67,47.45,230.88
109,5.96,4.24,0.128,33.1,Traditional,0–10,48.39,38.57,6.41,9.72,61.36,147.74
110,5.65,3.7,0.243,15.2,Organic,0–10,52.93,27.53,5.96,16.54,58.61,263.36
111,6.08,1.14,0.069,16.5,Monoculture,0–10,59.82,44.2,3.89,6.08,45.91,89.07
112,5.82,1.64,0.108,15.2,Monoculture,0–10,52.21,39.58,4.32,8.43,48.28,128.08
113,7.36,2.44,0.101,24.2,Monoculture,10–20,41.45,21.81,5.06,8.09,52.23,121.01
114,7.12,4.02,0.052,77.3,Traditional,10–20,51.36,37.53,6.2,5.07,59.98,71.99
115,6.77,1.53,0.083,18.4,Organic,10–20,30.09,48.44,4.24,6.94,47.52,102.74
116,7.24,3.53,0.209,16.9,Organic,10–20,52.28,27.76,5.91,14.67,57.54,229.01
117,7.11,1.29,0.216,6.0,Traditional,10–20,49.1,32.7,3.97,15.04,46.27,235.72
118,5.87,2.64,0.199,13.3,Organic,10–20,50.3,40.02,5.09,13.92,53.16,218.92
119,7.29,3.55,0.16,22.2,Organic,0–10,40.51,43.58,5.82,11.72,57.84,180.0
120,6.58,1.23,0.176,7.0,Traditional,10–20,47.38,20.64,4.0,12.62,46.22,196.07
121,7.11,1.71,0.166,10.3,Monoculture,10–20,36.77,42.89,4.32,11.99,48.49,186.04
122,7.29,3.77,0.1,37.7,Traditional,10–20,39.12,35.47,6.01,7.99,58.75,120.41
123,6.14,1.57,0.127,12.4,Monoculture,10–20,31.94,46.15,4.2,9.71,47.95,147.25
124,5.72,3.34,0.214,15.6,Traditional,0–10,56.47,32.76,5.76,14.86,56.7,234.18
125,5.96,3.25,0.069,47.1,Organic,0–10,44.69,38.15,5.65,6.1,56.22,89.67
126,6.35,2.82,0.058,48.6,Organic,0–10,50.29,40.83,5.24,5.45,54.0,77.82
127,7.14,1.71,0.188,9.1,Monoculture,0–10,46.88,36.35,4.34,13.24,48.59,208.02
128,7.22,2.46,0.218,11.3,Monoculture,10–20,56.87,26.41,5.0,15.15,52.45,237.89
129,5.51,3.18,0.173,18.4,Monoculture,10–20,46.94,46.97,5.54,12.37,56.09,192.83
130,6.52,4.09,0.202,20.2,Monoculture,10–20,46.4,25.0,6.4,14.19,60.53,221.91
131,6.33,3.79,0.245,15.5,Monoculture,10–20,36.04,28.08,6.01,16.77,58.83,265.33
132,5.94,3.13,0.176,17.8,Organic,0–10,50.23,27.24,5.52,12.59,55.68,196.17
133,5.74,1.8,0.139,12.9,Organic,10–20,33.09,34.72,4.5,10.35,48.92,159.18
134,6.18,1.76,0.249,7.1,Traditional,10–20,49.28,35.17,4.37,16.82,48.71,268.96
135,7.39,3.85,0.176,21.9,Traditional,0–10,40.66,26.36,5.99,12.52,59.23,196.0
136,6.15,3.33,0.085,39.2,Organic,10–20,53.14,37.31,5.71,7.07,56.63,105.02
137,6.54,2.25,0.187,12.0,Traditional,10–20,55.36,38.71,4.78,13.22,51.18,207.04
138,6.91,4.4,0.199,22.1,Organic,10–20,39.89,21.85,6.49,13.89,61.96,219.21
139,6.23,4.11,0.052,79.0,Organic,0–10,51.18,44.91,6.29,5.15,60.62,72.16
140,7.44,3.35,0.137,24.5,Organic,10–20,47.16,32.0,5.7,10.22,56.86,156.98
141,7.42,2.29,0.239,9.6,Monoculture,10–20,36.88,38.6,4.81,16.31,51.55,259.37
142,6.0,2.08,0.213,9.8,Monoculture,10–20,53.66,26.62,4.6,14.88,50.44,233.32
143,6.49,4.29,0.091,47.1,Monoculture,0–10,54.37,45.12,6.44,7.45,61.47,110.96
144,6.1,2.55,0.111,23.0,Organic,0–10,41.93,39.03,5.01,8.59,52.58,131.11
145,6.07,3.8,0.182,20.9,Traditional,0–10,34.46,25.39,6.11,12.92,58.91,201.85
146,5.57,4.29,0.233,18.4,Monoculture,10–20,56.46,40.32,6.43,16.01,61.37,252.97
147,6.72,2.72,0.226,12.0,Traditional,0–10,44.56,34.63,5.2,15.52,53.62,245.9
148,6.51,3.29,0.099,33.2,Monoculture,10–20,49.52,31.88,5.6,7.89,56.5,118.57
149,5.6,1.3,0.186,7.0,Traditional,0–10,41.03,44.31,4.13,13.13,46.48,205.99
150,6.06,3.28,0.163,20.1,Organic,0–10,34.69,29.14,5.52,11.78,56.44,183.19
151,7.32,1.75,0.125,14.0,Monoculture,0–10,30.19,32.45,4.32,9.48,48.78,145.16
152,5.98,3.35,0.11,30.5,Monoculture,10–20,46.12,36.7,5.68,8.56,56.77,129.99
153,5.79,1.35,0.15,9.0,Organic,0–10,46.38,45.03,4.09,11.03,46.73,170.22
154,6.48,2.73,0.164,16.6,Traditional,0–10,43.27,30.64,5.17,11.77,53.64,184.45
155,7.47,2.82,0.23,12.3,Monoculture,10–20,37.81,29.83,5.22,15.86,53.84,250.06
156,5.98,2.69,0.2,13.4,Traditional,0–10,46.59,36.01,5.22,14.01,53.49,219.67
157,6.84,3.65,0.062,58.9,Traditional,0–10,55.15,47.76,5.94,5.81,58.27,81.92
158,7.02,3.64,0.085,42.8,Traditional,0–10,44.35,40.29,5.93,7.06,58.12,104.74
159,5.98,3.47,0.098,35.4,Monoculture,0–10,36.87,45.18,5.73,7.88,57.16,118.19
160,6.96,3.21,0.091,35.3,Traditional,10–20,34.8,37.02,5.54,7.5,56.07,110.85
161,6.24,4.17,0.109,38.3,Traditional,10–20,38.5,22.82,6.28,8.61,60.85,128.66
162,6.76,3.01,0.131,23.0,Traditional,0–10,50.39,45.79,5.43,9.92,55.19,151.19
163,6.77,2.22,0.053,41.9,Monoculture,0–10,50.47,31.6,4.72,5.16,51.19,72.86
164,6.57,1.21,0.064,18.9,Monoculture,0–10,48.54,48.55,4.02,5.87,45.96,84.16
165,5.68,2.88,0.182,15.8,Traditional,10–20,56.56,25.42,5.22,12.94,54.48,201.92
166,7.17,1.8,0.17,10.6,Organic,10–20,48.15,31.14,4.35,12.3,49.18,190.16
167,6.14,2.35,0.225,10.4,Traditional,0–10,43.68,42.35,4.83,15.49,51.8,244.91
168,5.87,1.17,0.241,4.9,Traditional,10–20,31.4,44.24,3.87,16.49,45.87,260.77
169,5.58,3.24,0.196,16.5,Monoculture,10–20,36.36,24.25,5.64,13.74,56.15,215.94
170,6.68,4.1,0.129,31.8,Organic,10–20,46.87,35.12,6.33,9.72,60.37,148.77
171,6.86,2.14,0.199,10.8,Traditional,10–20,50.08,28.13,4.71,14.02,50.75,219.17
172,5.53,3.82,0.166,23.0,Traditional,0–10,37.81,28.32,6.04,11.85,59.13,186.46
173,6.52,1.44,0.239,6.0,Organic,10–20,53.81,38.48,4.03,16.28,47.34,259.17
174,5.95,3.53,0.231,15.3,Traditional,0–10,37.9,26.02,5.78,15.79,57.59,251.13
175,6.79,1.28,0.218,5.9,Traditional,10–20,37.24,34.42,3.98,15.05,46.43,237.91
176,5.85,1.91,0.18,10.6,Organic,10–20,56.95,49.21,4.55,12.9,49.55,200.05
177,6.88,2.26,0.084,26.9,Monoculture,0–10,43.87,32.89,4.75,6.99,51.14,104.21
178,6.27,1.55,0.204,7.6,Monoculture,0–10,44.01,42.06,4.17,14.26,47.79,223.88
179,7.37,1.65,0.226,7.3,Traditional,0–10,37.0,35.26,4.29,15.53,48.46,246.09
180,5.78,3.45,0.2,17.2,Organic,0–10,46.75,49.39,5.71,13.91,57.18,220.2
181,6.18,1.34,0.167,8.0,Monoculture,0–10,53.37,41.65,4.1,12.03,46.76,187.08
182,5.73,4.27,0.199,21.5,Monoculture,10–20,36.68,21.9,6.48,13.91,61.38,218.98
183,7.35,3.69,0.123,30.0,Monoculture,0–10,40.1,45.6,5.97,9.36,58.46,143.0
184,7.25,2.25,0.078,28.8,Traditional,0–10,36.16,39.62,4.75,6.68,51.24,97.93
185,6.02,3.2,0.118,27.1,Organic,0–10,53.63,44.37,5.59,9.14,55.96,137.72
186,6.82,3.52,0.222,15.9,Monoculture,0–10,43.63,35.13,5.81,15.31,57.5,241.43
187,7.13,3.08,0.229,13.4,Organic,10–20,38.02,49.62,5.53,15.79,55.43,248.89
188,6.61,3.16,0.09,35.1,Monoculture,10–20,46.59,33.37,5.5,7.38,55.91,110.42
189,6.56,4.21,0.068,61.9,Organic,10–20,30.47,42.41,6.41,6.0,61.06,87.89
190,5.98,4.08,0.07,58.3,Traditional,0–10,46.74,41.66,6.33,6.2,60.27,89.96
191,5.69,4.2,0.159,26.4,Organic,10–20,48.66,41.3,6.44,11.59,61.01,179.08
192,7.29,4.1,0.103,39.8,Organic,0–10,32.03,24.5,6.32,8.27,60.61,122.81
193,7.3,3.4,0.136,25.0,Organic,10–20,41.9,48.5,5.77,10.24,57.0,156.11
194,6.77,2.72,0.159,17.1,Monoculture,10–20,34.53,46.54,5.14,11.62,53.6,178.95
195,6.18,2.71,0.061,44.4,Monoculture,0–10,31.46,21.0,5.23,5.67,53.63,81.19
196,6.2,3.7,0.208,17.8,Organic,10–20,44.19,20.08,5.92,14.47,58.52,228.25
197,6.95,4.23,0.086,49.2,Traditional,10–20,49.88,30.6,6.34,7.21,61.15,105.86
198,7.29,1.31,0.14,9.4,Monoculture,0–10,44.11,34.56,3.99,10.42,46.61,160.14
199,7.27,4.07,0.224,18.2,Traditional,0–10,45.16,41.02,6.3,15.47,60.21,243.83
200,7.06,3.97,0.214,18.6,Traditional,0–10,32.47,42.37,6.1,14.8,59.9,233.72
201,6.78,1.31,0.228,5.7,Monoculture,10–20,51.13,45.49,4.04,15.61,46.49,247.86
202,5.67,3.3,0.192,17.2,Organic,10–20,49.23,44.55,5.58,13.6,56.46,212.06
203,5.82,4.4,0.097,45.4,Monoculture,0–10,52.35,20.89,6.58,7.91,61.93,117.11
204,7.3,3.98,0.129,30.9,Traditional,10–20,51.76,24.07,6.19,9.69,60.04,149.18
205,6.71,1.22,0.07,17.4,Monoculture,10–20,59.21,49.94,3.99,6.33,46.04,90.05
206,5.52,4.24,0.125,33.9,Monoculture,0–10,58.35,37.63,6.47,9.53,61.02,145.08
207,5.7,1.61,0.051,31.6,Organic,10–20,44.87,46.27,4.25,5.11,48.1,70.61
208,6.83,1.25,0.159,7.9,Organic,10–20,37.36,49.31,4.02,11.53,46.17,178.81
209,5.51,1.8,0.06,30.0,Traditional,10–20,33.16,44.68,4.47,5.6,49.04,79.77
210,5.82,2.69,0.072,37.4,Traditional,10–20,34.87,34.52,5.21,6.3,53.58,91.74
211,6.6,3.85,0.166,23.2,Organic,10–20,41.45,39.2,6.03,11.94,59.08,186.24
212,6.88,1.93,0.063,30.6,Organic,10–20,36.04,34.3,4.56,5.86,49.87,82.85
213,6.8,2.37,0.188,12.6,Organic,10–20,50.74,34.96,4.88,13.29,51.98,208.08
214,5.95,1.49,0.185,8.1,Monoculture,0–10,50.33,20.07,4.22,13.05,47.56,204.84
215,6.92,2.02,0.233,8.7,Organic,10–20,38.41,46.27,4.59,15.89,50.02,253.27
216,5.97,4.16,0.144,28.9,Traditional,0–10,45.69,30.0,6.3,10.54,60.83,164.33
217,6.15,3.38,0.249,13.6,Organic,0–10,34.29,46.17,5.71,16.93,56.89,268.84
218,6.99,3.36,0.234,14.4,Organic,10–20,40.58,49.96,5.59,16.11,56.8,254.09
219,6.8,1.87,0.136,13.8,Organic,0–10,46.86,25.74,4.48,10.2,49.47,155.92
220,7.2,1.51,0.113,13.4,Organic,10–20,33.25,37.63,4.15,8.75,47.6,132.87
221,6.82,4.11,0.148,27.8,Monoculture,0–10,38.02,39.47,6.32,10.94,60.62,167.8
222,6.64,4.3,0.144,29.9,Traditional,10–20,56.27,39.43,6.4,10.71,61.49,164.2
223,5.69,1.19,0.082,14.5,Monoculture,0–10,36.8,34.76,4.0,6.95,45.77,101.98
224,6.24,2.86,0.21,13.6,Organic,0–10,50.65,29.56,5.33,14.58,54.31,229.93
225,6.03,2.54,0.069,36.8,Organic,10–20,45.36,28.67,5.02,6.08,52.75,88.83
226,5.99,3.58,0.073,49.0,Traditional,0–10,56.79,28.02,5.84,6.41,58.05,93.01
227,7.45,2.06,0.166,12.4,Traditional,0–10,51.54,43.7,4.69,11.92,50.27,185.95
228,6.29,3.17,0.096,33.0,Organic,10–20,54.1,32.58,5.5,7.79,55.87,116.15
229,7.28,1.29,0.227,5.7,Traditional,10–20,47.5,48.42,4.06,15.63,46.45,246.85
230,6.76,3.88,0.25,15.5,Organic,0–10,42.19,29.96,6.0,17.03,59.49,269.48
231,7.09,1.84,0.081,22.7,Monoculture,10–20,42.67,42.17,4.44,6.86,49.2,100.96
232,6.51,2.1,0.238,8.8,Traditional,10–20,51.19,28.93,4.68,16.31,50.62,258.19
233,6.65,2.32,0.208,11.2,Traditional,10–20,54.77,45.95,4.85,14.56,51.68,228.1
234,6.49,1.72,0.126,13.7,Traditional,10–20,32.12,26.45,4.35,9.6,48.64,146.02
235,5.89,3.83,0.157,24.4,Traditional,0–10,40.09,43.17,6.0,11.39,58.99,177.23
236,6.94,1.24,0.128,9.7,Organic,10–20,44.1,45.23,3.98,9.62,46.17,148.25
237,6.06,4.27,0.153,27.9,Traditional,10–20,46.87,49.24,6.43,11.11,61.35,173.19
238,5.55,4.26,0.153,27.8,Monoculture,10–20,55.92,26.08,6.35,11.16,61.53,172.58
239,6.79,3.9,0.202,19.3,Traditional,10–20,34.45,24.67,6.13,14.2,59.59,222.08
240,5.85,4.33,0.183,23.7,Traditional,0–10,31.54,49.87,6.45,12.97,61.75,203.15
241,7.38,3.66,0.066,55.5,Traditional,0–10,33.19,37.47,5.91,5.88,58.43,86.01
242,7.41,2.97,0.11,27.0,Organic,0–10,35.03,38.83,5.4,8.56,54.99,129.79
243,7.33,3.53,0.067,52.7,Organic,0–10,41.69,49.31,5.91,5.97,57.59,86.94
244,6.24,1.01,0.135,7.5,Monoculture,10–20,31.69,25.95,3.84,10.03,45.02,154.72
245,5.53,3.4,0.147,23.1,Traditional,0–10,46.89,48.2,5.81,10.88,56.93,167.08
246,7.36,1.15,0.121,9.5,Organic,0–10,46.82,24.07,3.88,9.24,45.62,140.76
247,6.36,4.11,0.086,47.8,Monoculture,10–20,54.19,31.73,6.33,7.21,60.49,105.77
248,7.43,4.14,0.124,33.4,Organic,10–20,47.76,46.37,6.32,9.45,60.68,144.31
249,7.43,1.4,0.188,7.4,Monoculture,10–20,35.06,30.07,4.11,13.26,47.02,208.06
250,7.21,3.38,0.074,45.7,Monoculture,10–20,51.02,20.93,5.64,6.5,56.89,94.39
251,6.09,3.34,0.155,21.5,Organic,0–10,53.6,26.34,5.64,11.26,56.84,174.87
252,6.27,2.74,0.19,14.4,Organic,0–10,51.35,36.05,5.13,13.4,53.68,210.02
253,7.2,1.09,0.091,12.0,Traditional,10–20,53.21,26.26,3.96,7.54,45.49,110.7
254,6.13,1.4,0.234,6.0,Organic,0–10,42.7,49.67,4.13,15.95,46.98,253.96
255,5.84,3.31,0.077,43.0,Traditional,0–10,34.08,29.78,5.61,6.59,56.65,97.3
256,6.61,2.85,0.082,34.8,Traditional,10–20,41.28,20.22,5.25,6.9,54.12,101.82
257,7.37,1.16,0.075,15.5,Monoculture,0–10,30.38,28.01,3.91,6.56,45.73,95.3
258,6.89,2.81,0.21,13.4,Organic,10–20,39.89,40.01,5.24,14.66,54.02,230.21
259,6.64,3.97,0.069,57.5,Monoculture,10–20,37.92,44.19,6.28,6.09,59.87,89.24
260,5.69,4.12,0.151,27.3,Monoculture,10–20,43.89,45.22,6.34,10.97,60.41,171.04
261,6.73,3.44,0.228,15.1,Monoculture,10–20,30.8,41.32,5.72,15.69,57.2,247.94
262,7.48,3.32,0.164,20.2,Monoculture,10–20,54.33,41.65,5.66,11.99,56.56,184.09
263,5.78,3.69,0.123,30.0,Traditional,0–10,35.64,29.43,5.88,9.45,58.46,142.84
264,6.54,1.47,0.141,10.4,Organic,0–10,48.24,49.4,4.17,10.47,47.26,161.38
265,7.25,1.67,0.055,30.4,Monoculture,0–10,52.74,30.87,4.35,5.39,48.41,74.75
266,6.98,2.7,0.15,18.0,Traditional,10–20,52.65,38.63,5.15,10.96,53.61,169.89
267,6.89,2.58,0.23,11.2,Organic,0–10,39.72,29.39,5.14,15.75,52.76,250.16
268,6.9,1.65,0.225,7.3,Traditional,10–20,49.68,39.64,4.3,15.53,48.37,245.03
269,6.22,3.37,0.064,52.7,Traditional,0–10,47.8,25.26,5.66,5.81,56.8,84.15
